# .test .cputime .temperature .time_mat1 .time_mat2
1 0.001053  0.000 0.000017 0.000003
2 0.002032  0.000 0.000004 0.000003
3 0.003344  0.000 0.000025 0.000003
4 0.004440  0.000 0.000004 0.000004
5 0.005409  0.000 0.000020 0.000004
6 0.006582 -0.487 0.000016 0.000004
7 0.007486 -0.487 0.000021 0.000005
8 0.008561 -0.487 0.000017 0.000006
9 0.009710 -0.487 0.000022 0.000006
10 0.010609 -0.974 0.000018 0.000007
11 0.011762 -0.974 0.000027 0.000008
12 0.012866  0.487 0.000021 0.000009
13 0.013832  0.487 0.000026 0.000010
14 0.014862 -0.487 0.000023 0.000011
15 0.016131 -0.487 0.000029 0.000012
16 0.017075 -0.487 0.000025 0.000013
17 0.018250 -0.487 0.000029 0.000014
18 0.019184  0.000 0.000033 0.000016
19 0.020125 -0.487 0.000030 0.000017
20 0.021164 -0.974 0.000036 0.000018
21 0.022439  0.487 0.000034 0.000020
22 0.023204  0.974 0.000039 0.000021
23 0.024320  0.487 0.000036 0.000024
24 0.025162  0.000 0.000042 0.000027
25 0.026450 -0.487 0.000040 0.000030
26 0.027314  0.000 0.000046 0.000032
27 0.028388  0.000 0.000044 0.000033
28 0.029457 -0.487 0.000051 0.000035
29 0.030454 -0.487 0.000035 0.000038
30 0.031497 -0.487 0.000058 0.000039
31 0.032608  0.487 0.000039 0.000042
32 0.033532 -0.487 0.000064 0.000044
33 0.034556  0.487 0.000038 0.000046
34 0.035697  0.000 0.000063 0.000049
35 0.036769  0.000 0.000043 0.000053
36 0.037937 -0.487 0.000068 0.000055
37 0.038627  0.000 0.000047 0.000058
38 0.039741  0.487 0.000070 0.000062
39 0.040731  0.974 0.000052 0.000065
40 0.042095  0.974 0.000077 0.000067
41 0.042949  0.000 0.000057 0.000071
42 0.044012  0.000 0.000081 0.000074
43 0.044956  0.000 0.000062 0.000127
44 0.046154  0.487 0.000087 0.000081
45 0.046963  0.487 0.000068 0.000084
46 0.048086  1.461 0.000092 0.000090
47 0.049169  0.487 0.000073 0.000091
48 0.050180  0.000 0.000098 0.000098
49 0.051079  0.487 0.000078 0.000099
50 0.052442  0.000 0.000105 0.000104
51 0.053231  0.000 0.000085 0.000107
52 0.054250  0.974 0.000112 0.000111
53 0.055305  0.974 0.000091 0.000115
54 0.056351  1.461 0.000117 0.000121
55 0.057293  0.487 0.000098 0.000123
56 0.058405  0.487 0.000121 0.000127
57 0.059358  1.461 0.000118 0.000132
58 0.060764  0.974 0.000128 0.000137
59 0.061591  0.974 0.000126 0.000140
60 0.062815  0.487 0.000134 0.000144
61 0.074888  1.461 0.000214 0.000242
62 0.083284  0.974 0.000141 0.000152
63 0.065904  0.487 0.000141 0.000157
64 0.066753  0.974 0.000151 0.000161
65 0.068009  0.000 0.000148 0.000168
66 0.069050  1.461 0.000157 0.000170
67 0.070194  0.974 0.000158 0.000174
68 0.071039  0.974 0.000208 0.000180
69 0.072144  0.487 0.000165 0.000183
70 0.073137  0.974 0.000168 0.000191
71 0.074466  0.974 0.000179 0.000195
72 0.075248  1.461 0.000178 0.000201
73 0.076290  0.487 0.000186 0.000205
74 0.077254  1.461 0.000188 0.000212
75 0.078467  1.948 0.000195 0.000259
76 0.079213  1.948 0.000195 0.000265
77 0.080431  1.461 0.000205 0.000228
78 0.081602  0.974 0.000204 0.000233
79 0.082528  1.948 0.000214 0.000241
80 0.083823  1.948 0.000216 0.000247
81 0.084664  1.948 0.000307 0.000252
82 0.085836  0.974 0.000210 0.000258
83 0.086798  1.461 0.000241 0.000265
84 0.087894  1.948 0.000221 0.000272
85 0.088631  1.948 0.000285 0.000279
86 0.089717  1.948 0.000230 0.000284
87 0.090739  1.948 0.000259 0.000295
88 0.092122  1.948 0.000240 0.000298
89 0.093016  2.435 0.000271 0.000308
90 0.093853  0.974 0.000252 0.000311
91 0.095005  1.948 0.000280 0.000318
92 0.096165  1.948 0.000339 0.000326
93 0.097205  1.461 0.000333 0.000335
94 0.098280  2.922 0.000273 0.000342
95 0.099653  1.461 0.000304 0.000350
96 0.100549  0.974 0.000285 0.000355
97 0.101726  1.461 0.000316 0.000361
98 0.103233  1.948 0.000297 0.000368
99 0.104025  1.948 0.000327 0.000377
100 0.104804  2.922 0.000309 0.000384
101 0.105665  1.948 0.000339 0.000392
102 0.106697  2.922 0.000321 0.000400
103 0.107736  2.435 0.000350 0.000446
104 0.109154  2.922 0.000335 0.000415
105 0.110320  2.435 0.000365 0.000422
106 0.111024  1.948 0.000346 0.000430
107 0.111638  2.435 0.000377 0.000438
108 0.112874  2.435 0.000360 0.000477
109 0.113789  2.435 0.000385 0.000454
110 0.115117  2.922 0.000388 0.000461
111 0.116102  3.409 0.000433 0.000469
112 0.117130  2.435 0.000401 0.000477
113 0.118451  2.922 0.000413 0.000485
114 0.119110  1.948 0.000414 0.000498
115 0.120580  1.461 0.000426 0.000540
116 0.121694  2.922 0.000429 0.000512
117 0.122817  2.435 0.000481 0.000520
118 0.122985  2.435 0.000443 0.000529
119 0.124667  1.948 0.000457 0.000537
120 0.125306  2.435 0.000458 0.000545
121 0.126826  3.896 0.000465 0.000587
122 0.127677  2.435 0.000512 0.000562
123 0.128129  3.409 0.000479 0.000575
124 0.129407  2.922 0.000505 0.000591
125 0.130865  2.922 0.000494 0.000591
126 0.131356  1.948 0.000506 0.000603
127 0.131800  2.435 0.000510 0.000623
128 0.133622  1.948 0.000519 0.000622
129 0.135036  2.435 0.000527 0.000631
130 0.135177  3.409 0.000538 0.000644
131 0.137372  3.409 0.000540 0.000654
132 0.137421  2.922 0.000594 0.000704
133 0.139325  2.435 0.000542 0.000674
134 0.139929  3.896 0.000578 0.000686
135 0.141068  3.409 0.000560 0.000695
136 0.141738  2.922 0.000616 0.000705
137 0.142507  2.922 0.000604 0.000717
138 0.144469  3.409 0.000609 0.000728
139 0.144680  3.409 0.000622 0.000738
140 0.145976  3.409 0.000623 0.000779
141 0.146881  2.922 0.000646 0.000782
142 0.147964  2.922 0.000643 0.000770
143 0.148494  2.922 0.000697 0.000782
144 0.150173  2.435 0.000712 0.000793
145 0.150689  3.409 0.000675 0.000821
146 0.151809  3.896 0.000678 0.000817
147 0.152639  1.948 0.000696 0.000828
148 0.154135  2.922 0.000777 0.000841
149 0.155256  3.409 0.000680 0.000851
150 0.156022  2.922 0.000714 0.000860
151 0.156690  3.409 0.000699 0.000873
152 0.157933  2.922 0.000733 0.000886
153 0.158991  3.409 0.000724 0.000912
154 0.160292  3.896 0.000794 0.000909
155 0.161165  3.896 0.000736 0.000963
156 0.162323  3.409 0.000771 0.000975
157 0.163188  3.409 0.000794 0.000947
158 0.163957  3.409 0.000830 0.000954
159 0.164982  3.896 0.000774 0.000968
160 0.166405  3.896 0.000804 0.000981
161 0.167295  3.896 0.000807 0.001059
162 0.168263  4.383 0.000862 0.001004
163 0.169469  4.870 0.000885 0.001032
164 0.170301  2.435 0.000845 0.001028
165 0.171925  3.409 0.000903 0.001057
166 0.171993  4.383 0.000866 0.001056
167 0.173705  2.435 0.000887 0.001069
168 0.174555  3.409 0.000890 0.001135
169 0.175523  4.870 0.000932 0.001095
170 0.177037  4.383 0.000907 0.001143
171 0.177739  4.383 0.000951 0.001127
172 0.178887  2.922 0.000923 0.001131
173 0.179259  3.896 0.000938 0.001190
174 0.180362  3.896 0.000940 0.001172
175 0.181171  4.383 0.000958 0.001171
176 0.181916  4.383 0.000963 0.001186
177 0.183475  5.357 0.000980 0.001277
178 0.183820  3.896 0.001028 0.001218
179 0.185660  4.383 0.001003 0.001231
180 0.186411  3.409 0.001048 0.001250
181 0.187950  3.896 0.001064 0.001257
182 0.188351  4.383 0.001110 0.001280
183 0.190098  3.896 0.001094 0.001295
184 0.191218  3.896 0.001078 0.001391
185 0.191886  3.409 0.001074 0.001355
186 0.194024  4.870 0.001061 0.001330
187 0.194344  4.383 0.001097 0.001410
188 0.195948  4.383 0.001087 0.001394
189 0.195881  4.870 0.001164 0.001387
190 0.198221  3.409 0.001107 0.001411
191 0.198285  3.409 0.001146 0.001428
192 0.200516  4.383 0.001180 0.001436
193 0.200216  3.896 0.001211 0.001447
194 0.200946  4.383 0.001195 0.001462
195 0.203118  3.896 0.001193 0.001478
196 0.203812  4.383 0.001181 0.001522
197 0.204543  4.870 0.001301 0.001515
198 0.205084  4.383 0.001242 0.001547
199 0.206820  4.870 0.001242 0.001613
200 0.207926  4.870 0.001232 0.001569
201 0.209028  4.870 0.001330 0.001597
202 0.210566  4.383 0.001256 0.001685
203 0.210656  4.870 0.001328 0.001620
204 0.211678  5.357 0.001343 0.001635
205 0.212619  5.357 0.001361 0.001655
206 0.214459  4.383 0.001303 0.001714
207 0.214741  4.870 0.001440 0.001725
208 0.216519  5.357 0.001389 0.001732
209 0.217059  4.870 0.001453 0.001733
210 0.218437  5.357 0.001393 0.001872
211 0.218808  4.870 0.001507 0.001765
212 0.220093  4.383 0.001480 0.001800
213 0.220950  4.383 0.001456 0.001800
214 0.222093  5.844 0.001452 0.001900
215 0.223627  4.383 0.001484 0.001830
216 0.223427  4.870 0.001530 0.001883
217 0.225235  5.357 0.001512 0.001870
218 0.227669  4.870 0.001554 0.001923
219 0.227736  4.383 0.001623 0.001907
220 0.229217  5.357 0.001534 0.001962
221 0.229947  5.357 0.001552 0.002032
222 0.230722  6.331 0.001559 0.002052
223 0.231093  4.383 0.001615 0.002020
224 0.232593  5.357 0.001629 0.002064
225 0.233736  5.357 0.001573 0.002167
226 0.235673  3.896 0.001635 0.002263
227 0.236218  4.870 0.001602 0.002166
228 0.236858  5.357 0.001702 0.002141
229 0.238004  4.870 0.001671 0.002214
230 0.239027  4.870 0.001719 0.002209
231 0.239885  5.844 0.001745 0.002244
232 0.241175  5.357 0.001727 0.002349
233 0.241818  5.357 0.001820 0.002233
234 0.244433  4.870 0.001791 0.002301
235 0.245181  5.357 0.001803 0.002344
236 0.246082  5.357 0.001841 0.002361
237 0.247217  5.357 0.001828 0.002365
238 0.248200  4.383 0.001862 0.002424
239 0.249107  5.357 0.001852 0.002417
240 0.250162  4.383 0.001885 0.002519
241 0.251506  4.870 0.001845 0.002548
242 0.252465  5.357 0.001993 0.002442
243 0.253921  4.870 0.001893 0.002603
244 0.253885  5.357 0.001978 0.002522
245 0.254482  5.357 0.001949 0.002570
246 0.256946  5.357 0.002006 0.002620
247 0.256941  5.844 0.001993 0.002640
248 0.259699  5.357 0.002126 0.002643
249 0.259890  5.844 0.002023 0.002738
250 0.262983  5.844 0.002069 0.002747
251 0.262765  4.870 0.002021 0.002832
252 0.263300  5.357 0.002068 0.002790
253 0.264518  5.357 0.002129 0.002770
254 0.266668  5.844 0.002188 0.002736
255 0.277778  5.357 0.002128 0.002821
256 0.266625  4.870 0.002136 0.002954
257 0.280799  5.357 0.002208 0.002923
258 0.270154  5.844 0.002226 0.002983
259 0.270906  5.844 0.002212 0.002983
260 0.271719  5.844 0.002206 0.003025
261 0.272058  5.357 0.002271 0.002962
262 0.273936  4.870 0.002244 0.003067
263 0.279134  5.844 0.002258 0.003079
264 0.274540  5.844 0.002332 0.003075
265 0.276756  6.331 0.002294 0.003212
266 0.277824  5.844 0.002343 0.003224
267 0.278156  4.870 0.002251 0.003291
268 0.279061  5.844 0.002278 0.003281
269 0.280456  5.357 0.002377 0.003284
270 0.280653  5.844 0.002363 0.003214
271 0.282234  5.844 0.002451 0.003313
272 0.282644  5.844 0.002403 0.003356
273 0.284471  5.844 0.002476 0.003330
274 0.285168  6.331 0.002354 0.003477
275 0.287307  5.357 0.002491 0.003466
276 0.287028  5.357 0.002536 0.003488
277 0.288877  5.357 0.002519 0.003473
